budget,country_of_origin,genre,global_ranking,num_of_ratings,rating,release_date,title,us_gross,worldwide_gross
63000000,USA,Action,264,829664,7.57,24.03.1999,The Matrix,172076928,467222728
,France,Drama,262,43587,7.91,04.10.1991,Night on Earth,2015810,2113387
,Poland,Vice,260,150313,7.66,12.04.1982,Znachor,,
113000000,USA,Adventurous,263,256163,7.61,12.05.2005,Star Wars: Episode III - Revenge of the Sith,380270577,868390560
59000000,USA,Animation,258,493874,7.59,12.03.2002,Ice Age,176387405,383257136
,France,Drama,259,92778,7.73,07.12.2016,Demain tout commence,49619118,49619118
85000000,USA,Melodrama,257,187742,7.64,29.11.2005,Memoirs of a Geisha,57490508,162242962
102000000,France,Action,261,261997,7.62,01.07.1991,Terminator 2: Judgment Day,205881154,520881154
,Poland,Drama,256,122644,7.69,25.08.2013,Chce się żyć,1438531,1438531
25000000,USA,Moral drama,255,90211,7.74,27.09.2007,There Will Be Blood,40222514,76182388
14000000,Germany,Comedy,254,112616,7.7,08.09.2019,Jojo Rabbit,33370906,90335025
28000000,United Kingdom,Costume,253,169859,7.66,25.07.2005,Pride & Prejudice,38405088,121616555
,Germany,Drama,252,74719,7.78,01.11.2001,So weit die Füße tragen,,
,Japan,Family,251,69378,7.8,16.04.1988,Tonari no Totoro,2250213,30574632
12800000,Dishes,Drama,249,59186,7.84,17.05.2000,Dancer in the Dark,4184036,40061153
140000000,USA,Sci-Fi,250,377387,7.62,14.04.2008,Iron Man,319034126,585796247
,Italy,Drama,248,171599,7.67,02.02.2016,Perfetti sconosciuti,32207491,32207491
44000000,USA,Western,246,225561,7.65,07.12.2015,The Hateful Eight,54117416,156480177
,Poland,A comedy of manners.,245,127703,7.71,28.05.1974,Nie ma mocnych,,
87000000,USA,Thriller,244,353045,7.63,09.02.2001,Hannibal,165092268,351692268
,United Kingdom,Biographical,243,37664,8.0,07.10.2010,Senna,1612430,10197661
180000000,USA,Fantasy,247,398191,7.62,28.11.2012,The Hobbit: An Unexpected Journey,303030651,1017030651
40000000,USA,Biographical,242,55057,7.87,12.09.2004,Ray,75331600,123971376
90000000,USA,Fantasy,241,276392,7.65,02.11.1998,Meet Joe Black,44619100,142940100
68000000,USA,Drama,240,328782,7.64,22.10.2001,K-PAX,50338485,65001485
18000000,USA,Biographical,239,64014,7.84,13.11.1980,Raging Bull,23383987,23402427
25000000,USA,Gangster,237,100358,7.75,02.06.1987,The Untouchables,76270454,186270454
6000000,Germany,Crime,238,104117,7.75,25.01.1995,The Usual Suspects,23341568,51441568
25000000,USA,Thriller,236,183867,7.68,23.05.2003,Mystic River,90135191,156595191
15000000,USA,Drama,235,519454,7.63,08.09.1999,American Beauty,130096601,356296601
7000000,USA,Drama,234,87938,7.78,07.04.2017,Gifted,24801212,43069254
1500000,USA,Comedy rom.,233,62401,7.85,27.08.1953,Roman Holiday,5000000,12000000
,Poland,Drama,232,30895,8.11,26.08.1959,Pociąg,,
,Ukraine,Drama,231,100247,7.76,29.09.2005,9 rota,26146165,26146165
140000000,USA,Historical drama,230,277826,7.66,22.11.2003,The Last Samurai,111127263,454627263
20000000,USA,Drama,229,123460,7.73,15.11.2017,Wonder,132422809,315025930
25000000,France,Sensational,228,354150,7.65,16.02.2008,Taken,145000989,226837760
165000000,USA,Animation,227,163306,7.7,23.10.2014,Big Hero 6,222527828,657869686
,Poland,Vice,226,54275,7.9,21.02.1975,Ziemia obiecana,,
,Turkey,Drama,225,23902,8.27,10.10.2019,7. Koğuştaki Mucize,17163660,17163660
110000000,USA,Sensational,224,180143,7.69,25.07.2007,The Bourne Ultimatum,227471070,444100035
7000000,USA,Crime,223,139149,7.72,08.09.2012,End of Watch,41003371,55078146
,Poland,Sensational,222,211135,7.68,31.12.1992,Psy,,
2540800,USA,Comedy,221,53113,7.91,27.03.1952,Singin' in the Rain,1884537,1985921
,USA,Drama,220,82730,7.81,24.11.1993,A Perfect World,31130999,135130999
1800000,United Kingdom,Satire,219,44830,7.97,29.01.1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9440272,9523464
38000000,USA,Drama,218,94730,7.78,,Empire of the Sun,,22238696
1300000,Poland,Vice,216,198984,7.7,29.08.2019,Boże Ciało,127240,9943901
,Poland,Crime comedy,217,156751,7.72,października 1981,Vabank,,
12000000,USA,Sci-Fi,214,139215,7.74,,2001: A Space Odyssey,60481243,65889846
,Australia,Animation,213,52658,7.93,15.01.2009,Mary and Max,1740429,1740429
60000000,USA,Drama,212,309031,7.67,09.11.1994,Interview with the Vampire: The Vampire Chronicles,105264608,223664608
,Poland,Drama,211,43513,7.99,10.01.1987,Przypadek,,
29000000,USA,Biographical,208,156674,7.73,17.11.2009,The Blind Side,255982860,309231694
,Sweden,Drama,210,31117,8.14,,Persona,,
145000000,USA,Animation,215,172431,7.71,16.05.2014,How to Train Your Dragon 2,177002924,621537519
6000000,USA,Crime,209,70955,7.85,19.06.1974,Chinatown,29200000,29225935
,Japan,Action,207,69271,7.86,18.11.1995,Kōkaku Kidōtai,,
,Hong Kong,Biographical,206,72832,7.85,12.12.2008,Yip Man,22108789,22108789
70000000,USA,Animation,205,165074,7.73,05.06.1998,Mulan,120620254,304320254
13000000,USA,Drama,204,365781,7.68,01.09.2010,Black Swan,106954678,329398046
1000000,USA,Psychological,202,60976,7.9,04.08.1954,Rear Window,36764313,37034579
55000000,USA,Biographical,201,216783,7.71,27.09.2013,Captain Phillips,107100855,218791811
6000000,USA,Drama,200,208800,7.71,19.01.2001,Donnie Darko,1478493,7012321
130000000,USA,Family,203,415390,7.67,23.05.2004,Harry Potter and the Prisoner of Azkaban,250105651,797660766
28000000,USA,Thriller,198,209621,7.72,25.06.1982,Blade Runner,32914489,41722424
38000000,USA,Drama,197,108181,7.79,07.02.2003,The Life of David Gale,19955598,38955598
30000000,USA,Biographical,196,106561,7.8,13.01.2005,Coach Carter,67264877,76669806
48000000,USA,Adventurous,195,249790,7.71,24.05.1989,Indiana Jones and the Last Crusade,197171806,474171806
,Dishes,Animation,194,37545,8.08,06.09.2014,Song of the Sea,857522,4253152
90000000,USA,Crime,199,324298,7.69,12.12.2011,The Girl with the Dragon Tattoo,102515793,232617430
,Poland,Drama,193,151404,7.76,19.11.1999,Dług,,
22000000,USA,Western,192,116207,7.79,19.10.1990,Dances with Wolves,184208848,424208848
22000000,USA,Moral drama,191,87960,7.84,03.12.2001,I Am Sam,40311852,97818139
17000000,France,Crime,190,174692,7.75,28.05.1985,Der Name der Rose,7153487,77153487
5000000,USA,Western,189,49411,7.99,20.12.1968,C'era una volta il West,5321508,5435024
150000000,USA,Fantasy,187,509092,7.69,,The Curious Case of Benjamin Button,127509326,335802786
40000000,USA,Drama,186,169585,7.75,07.09.2019,Knives Out,165363234,312897920
2500000,USA,Melodrama,185,156767,7.76,05.10.1961,Breakfast at Tiffany's,9551904,9794702
180000000,USA,Fantasy,188,177661,7.75,10.10.2017,Thor: Ragnarok,315058289,853983879
35000000,USA,Biographical,184,138042,7.78,24.02.1997,Donnie Brasco,41909762,124909762
13000000,Ireland,Biographical,181,51608,7.98,12.12.1993,In the Name of the Father,25096862,65796862
,Japan,Fantasy,180,28652,8.24,26.08.2016,Kimi no Na wa.,5017246,382238181
300000000,USA,Fantasy,183,391571,7.7,19.05.2007,Pirates of the Caribbean: At World's End,309420425,960996492
18000000,USA,Adventurous,182,274694,7.72,12.06.1981,Raiders of the Lost Ark,248159971,389925971
960000,USA,Drama,179,198908,7.75,20.11.1976,Rocky,117235147,117250402
25000000,USA,Drama,177,97489,7.84,09.09.2011,Warrior,13657115,23308615
175000000,USA,Animation,178,225993,7.74,18.05.2015,Inside Out,356921711,858848019
3000000,USA,Moral drama,176,82690,7.87,20.12.1967,The Graduate,104945305,105015008
,Poland,Drama,174,158857,7.78,23.09.2016,Wołyń,6960645,6960645
20000000,USA,Drama,172,404111,7.72,06.12.1990,Edward Scissorhands,56362352,86024005
22000000,USA,Drama,173,72989,7.9,14.09.1993,A Bronx Tale,,17287898
,Poland,Drama,171,75491,7.9,11.03.1988,Krótki film o zabijaniu,,
250000000,USA,Action,175,310316,7.72,16.07.2012,The Dark Knight Rises,448149584,1081169825
55000000,USA,Moral drama,170,189429,7.77,20.05.2008,Changeling,35739802,113398237
,Poland,Drama,169,250193,7.75,17.09.2003,Symetria,,
,Poland,Documentary,168,44780,8.06,sierpnia 1980,Gadające głowy,,
100000000,USA,Animation,165,30292,8.24,31.05.2023,Spider-Man: Across the Spider-Verse,381311319,689935201
4000000,Lebanon,Drama,166,31365,8.22,17.01.2018,Cafarnaúm,1661096,64417003
,Poland,Drama,164,139116,7.81,09.06.2011,Róża,2339514,2339514
,,Documentary,163,25062,8.36,28.09.2020,David Attenborough: A Life On Our Planet,,
5500000,Poland,Animation,162,83396,7.89,12.06.2017,Loving Vincent,6735118,42187665
100000000,USA,Biographical,160,460118,7.73,09.12.2013,The Wolf of Wall Street,116900694,406878233
90000000,USA,Crime,167,447673,7.72,14.12.2009,Sherlock Holmes,209028679,524028679
950000,USA,Crime,161,94361,7.87,,Casablanca,4219709,4571400
,Poland,Comedy,158,455181,7.73,17.11.1997,Kiler,,
4000000,USA,Documentary,157,36282,8.16,11.09.2011,Samsara,2672413,4426444
,Canada,Sensational,156,167033,7.8,04.08.1999,The Boondock Saints,,
24500000,United Kingdom,Drama,155,60149,7.98,16.05.1986,The Mission,17218023,17502499
16500000,USA,Fantasy,154,290904,7.76,27.04.2006,The Illusionist,39868642,87892388
3800000,Dishes,Moral drama,153,121209,7.85,20.05.2012,Jagten,613308,15886373
11000000,USA,Drama,152,301880,7.76,01.10.1993,What's Eating Gilbert Grape,,10032765
125000000,USA,Family,159,354858,7.74,07.07.2011,Harry Potter and the Deathly Hallows: Part 2,381447587,1342359942
100000000,USA,Biographical,151,201943,7.79,19.10.2007,American Gangster,130164645,269755430
25000000,USA,Drama,150,268667,7.77,06.02.2014,The Grand Budapest Hotel,59301324,173082189
5000000,USA,Biographical,149,180923,7.8,07.09.2013,Dallas Buyers Club,27298285,55198285
38000000,USA,Biographical,148,158057,7.82,02.09.2013,Rush,26947624,96983009
30000000,USA,Drama,146,274899,7.78,05.12.2004,Million Dollar Baby,100492203,216763646
225000000,USA,Fantasy,147,424176,7.76,24.06.2006,Pirates of the Caribbean: Dead Man's Chest,423315812,1066179747
15000000,United Kingdom,Biographical,145,324747,7.77,06.09.2010,The King's Speech,138797449,484068861
140000000,USA,Fantasy,144,731068,7.74,28.06.2003,Pirates of the Caribbean: The Curse of the Black Pearl,305413918,654264015
53000000,USA,Biographical,143,224871,7.79,29.03.2001,Blow,52990775,83282296
14400000,USA,Western,142,90499,7.91,03.08.1992,Unforgiven,101167799,159167799
32000000,USA,Melodrama,141,204830,7.8,10.12.2008,The Reader,34194407,108902486
,Estonia,Drama,140,48275,8.07,16.10.2013,Mandariinid,144501,1024132
61000000,USA,Thriller,139,325828,7.78,26.09.2014,Gone Girl,167767189,369330363
13000000,USA,Thriller,137,507512,7.76,17.01.2004,The Butterfly Effect,57938693,96822421
3500000,United Kingdom,Drama,138,232656,7.8,23.02.1996,Trainspotting,16491080,71991080
,Japan,Drama,136,51194,8.06,,Hotaru no Haka,,
97600000,USA,Biographical,134,79755,7.94,30.08.2019,Ford v Ferrari,117624357,225508210
,Poland,Animation,135,171731,7.83,24.03.2002,Katedra,,
92000000,USA,Drama,133,313454,7.78,18.12.2001,Black Hawk Down,108638745,172989651
,Poland,Comedy,132,339629,7.78,04.05.1981,Miś,,
,Poland,Comedy,130,657772,7.76,14.05.1984,Seksmisja,,
,Poland,Political,131,55078,8.05,13.12.1989,Przesłuchanie,,
1400000,United Kingdom,Crime comedy,129,110376,7.89,23.08.1998,"Lock, Stock and Two Smoking Barrels",3753929,28356188
750000,Spain,Western,128,53019,8.06,18.12.1965,Per qualche dollaro in più,,15000000
3977000,USA,Costume,127,107765,7.9,,Gone with the Wind,200882193,402382193
6800000,Canada,Drama,126,52424,8.08,03.09.2010,Incendies,2071334,6788659
12000000,United Kingdom,Drama,124,52595,8.08,22.05.1982,Pink Floyd: The Wall,22244207,22265763
,Poland,Documentary,125,81810,7.96,11.05.2019,Tylko nie mów nikomu,,
13000000,Ireland,Drama,123,191240,7.84,04.09.2015,Room,14677654,35401758
2883848,USA,Comedy,122,102442,7.92,,Some Like It Hot,,25038874
170000000,USA,Action,121,94767,7.94,18.05.2022,Top Gun: Maverick,718732821,1493491858
,Poland,Drama,120,620695,7.78,07.06.2002,Dzień świra,1277521,1277521
9000000,United Kingdom,Comedy,119,129916,7.89,31.03.1983,The Meaning of Life,14929552,14949697
16400000,USA,Drama,118,312997,7.81,02.06.1989,Dead Poets Society,95860116,235860116
30000000,USA,Drama,117,144058,7.88,01.04.1996,Primal Fear,56116183,102616183
50000000,USA,Thriller,115,225719,7.84,03.09.1997,The Game,48323648,109423648
1300000,USA,Drama,114,235769,7.84,08.02.1976,Taxi Driver,28262574,28570902
50000000,USA,Thriller,116,213971,7.84,23.09.2009,Law Abiding Citizen,73357727,127944208
19000000,United Kingdom,Horror,113,422262,7.81,23.05.1980,The Shining,45634352,47234635
,Poland,Comedy,112,430612,7.81,25.02.2000,Chłopaki nie płaczą,,
9000000,USA,Drama,111,66306,8.04,21.10.1971,Fiddler on the Roof,10404330,10405457
,Poland,A comedy of manners.,110,262826,7.84,15.09.1967,Sami swoi,,
70000000,USA,Drama,109,190992,7.87,18.04.2004,Man on Fire,77911774,130834852
44000000,USA,Drama,108,158388,7.89,28.08.1996,Sleepers,53315285,165615285
40000000,USA,Thriller,107,628791,7.81,02.08.1999,The Sixth Sense,293506292,672806432
60000000,USA,Animation,106,831839,7.81,22.04.2001,Shrek,268163011,488351320
15000000,USA,Biographical,103,264554,7.86,01.09.2007,Into the Wild,18354356,56675895
40000000,USA,Biographical,105,247809,7.87,08.12.1999,"Girl, Interrupted",28912646,48350205
26000000,USA,Drama,102,288541,7.86,14.12.1993,Philadelphia,77446440,206678440
30000000,USA,Gangster,104,97956,7.98,10.11.1993,Carlito's Way,36948322,63848322
11000000,United Kingdom,Horror,101,289127,7.86,,Alien,81900459,106285522
24000000,Japan,Fantasy,100,111486,7.96,05.09.2004,Hauru no ugoku shiro,6789268,237536126
4000000,United Kingdom,Comedy,99,184876,7.9,17.08.1979,Life of Brian,20206622,20745728
,Poland,Comedy,98,277842,7.87,02.04.1970,Jak rozpętałem drugą wojnę światową,,
,Japan,Fantasy,97,87183,8.01,12.07.1997,Mononoke-hime,4845631,170005875
,Poland,Animation,96,53311,8.14,08.09.2023,Chłopi,9612537,9612537
4500000,USA,Drama,95,677858,7.83,14.05.2000,Requiem for a Dream,3635482,7390108
18000000,Italy,Drama,94,151365,7.93,01.01.2013,La migliore offerta,100035,20919703
165000000,USA,Animation,93,304897,7.87,18.03.2010,How to Train Your Dragon,217581231,494879471
6000000,United Kingdom,Drama,92,54592,8.14,27.01.2020,The Father,2122771,24425557
,Japan,Drama,91,73701,8.06,26.04.1954,Shichinin no samurai,,
46000000,USA,Thriller,89,256414,7.89,30.08.2013,Prisoners,61002302,122126687
52000000,USA,Biographical,90,225120,7.89,23.10.2018,Bohemian Rhapsody,216668042,910809311
68000000,Ireland,Drama,88,231095,7.9,07.02.2001,Enemy at the Gates,51401758,96976270
52000000,USA,Crime comedy,87,339352,7.87,16.12.2002,Catch Me If You Can,164615351,352114312
5500000,France,Drama,86,107836,7.99,17.03.2004,Les choristes,3635164,88385944
,Spain,Animation,85,59071,8.13,08.11.2019,Klaus,,
2200000,United Kingdom,Drama,84,217774,7.91,,A Clockwork Orange,26617553,26960374
5500000,USA,Crime comedy,83,76527,8.06,25.12.1973,The Sting,,156000000
,Poland,Biographical,82,102526,8.01,21.09.2017,Najlepszy,4241561,4241561
4500000,Spain,Crime,81,143698,7.97,23.09.2016,Contratiempo,31191910,31191910
150000000,USA,Animation,79,266948,7.92,10.02.2016,Zootopia,341268248,1025521689
100000000,USA,Biographical,78,101436,8.03,19.07.2023,Oppenheimer,326974650,952908650
5000000,France,Drama,77,74016,8.1,17.11.1988,Nuovo cinema Paradiso,12397210,13019063
54000000,USA,Drama,75,181880,7.95,20.12.1990,The Godfather: Part III,66761392,136861392
90000000,USA,Animation,80,89799,8.05,07.12.2018,Spider-Man: Into the Spider-Verse,190241310,384256930
,USA,Drama,74,222269,7.94,04.09.2017,"Three Billboards Outside Ebbing, Missouri",54513740,160260573
11000000,USA,Adventurous,76,327508,7.91,,Star Wars,460998507,775398007
30000000,USA,Drama,73,164215,7.97,17.06.1987,Full Metal Jacket,,46357676
1200000,USA,Thriller,72,221671,7.94,21.01.1992,Reservoir Dogs,2832029,2913644
400000,United Kingdom,Comedy,71,169616,7.97,14.03.1975,Monty Python and the Holy Grail,2562392,2675602
57000000,USA,Thriller,70,439153,7.91,13.10.1997,The Devil's Advocate,60944660,152944660
25000000,USA,Drama,69,167294,7.99,12.12.1988,Rain Man,172825435,354825435
10000000,United Kingdom,Crime comedy,68,256882,7.96,23.08.2000,Snatch,30328156,83557872
3300000,Brazil,Drama,67,171358,8.01,18.05.2002,Cidade de Deus,7564459,30680793
165000000,USA,Sci-Fi,66,388508,7.95,26.10.2014,Interstellar,188020017,773837686
55000000,USA,Drama,64,484967,7.95,19.12.2008,Seven Pounds,69951824,169748929
15000000,USA,Drama,63,129768,8.07,08.12.1978,The Deer Hunter,48979328,49074243
16000000,USA,Drama,62,185772,8.03,13.06.2009,Hachi: A Dog's Tale,46749646,46749646
806947,USA,Thriller,61,144697,8.06,16.06.1960,Psycho,32000000,32052925
29000000,USA,Moral drama,60,127491,8.08,12.12.1990,Awakenings,,52096475
356000000,USA,Action,65,167689,8.02,10.04.2019,Avengers: Endgame,858373000,2799439100
90000000,USA,Crime,58,341778,8.02,26.09.2006,The Departed,132399394,291480452
29000000,USA,Melodrama,56,374849,8.02,20.05.2004,The Notebook,81417274,118230644
,Poland,Biographical,59,350403,8.0,18.09.2014,Bogowie,11960658,11960658
19000000,Japan,Fantasy,57,143014,8.1,20.07.2001,Sen to Chihiro no Kamikakushi,13750644,355822319
6000000,USA,Drama,54,130770,8.13,19.12.1986,Platoon,138530565,138545632
18000000,USA,Biographical,53,122588,8.14,,Amadeus,51973029,52066791
11400000,South Korea,Drama,52,173115,8.1,21.05.2019,Gi-saeng-chung,53369749,262676096
70000000,USA,War,55,587603,8.01,20.05.2009,Inglourious Basterds,120540719,321457747
55000000,USA,Biographical,51,269046,8.06,15.12.2006,The Pursuit of Happyness,163566459,307127625
93000000,New Zealand,Fantasy,49,724585,8.02,10.12.2001,The Lord of the Rings: The Fellowship of the Ring,316115420,898204420
52000000,USA,Drama,47,161444,8.12,03.04.1995,Casino,42512375,116112375
30000000,USA,Drama,45,113872,8.18,17.02.1984,Once Upon a Time in America,5321508,5473337
25000000,USA,Drama,46,280580,8.07,09.08.2011,The Help,169708112,216639112
185000000,USA,Action,48,518369,8.03,14.07.2008,The Dark Knight,534987076,1006234167
60000000,USA,Sensational,50,167588,8.11,06.12.1995,Heat,67436818,187436818
1200000,Italy,Western,43,105865,8.21,23.12.1966,"Il buono, il brutto, il cattivo.",25100000,25253887
32500000,USA,Adventurous,44,296095,8.08,,Star Wars: Episode VI - Return of the Jedi,309306177,475106177
40000000,USA,Drama,40,396589,8.08,17.10.2006,The Prestige,53089891,109676311
31000000,USA,Drama,39,364319,8.09,23.12.1992,Scent of a Woman,63095253,134095253
31500000,USA,Drama,38,184939,8.15,10.05.1979,Apocalypse Now,96042913,104729466
40000000,USA,Biographical,37,231266,8.14,04.09.2016,Hacksaw Ridge,67209615,180563636
12500000,USA,Drama,36,407297,8.11,12.09.2008,The Boy in the Striped Pyjamas,9046156,40416563
18000000,USA,Adventurous,41,303719,8.09,,Star Wars: Episode V - The Empire Strikes Back,292753960,538375067
,USA,Action,42,200452,8.12,23.04.2018,Avengers: Infinity War,678815482,2052415039
10000000,USA,Moral drama,35,291915,8.13,02.12.1997,Good Will Hunting,138433435,225933435
3300000,USA,Musical,34,307168,8.13,16.01.2014,Whiplash,13092000,49396747
72000000,USA,Historical drama,33,401025,8.12,,Braveheart,75609945,213216216
70000000,USA,Drama,32,650351,8.1,21.07.1998,Saving Private Ryan,217049603,482349603
103000000,USA,Historical drama,31,768739,8.12,01.05.2000,Gladiator,187705427,503162313
23000000,USA,Drama,30,221952,8.2,11.09.2018,Green Book,85080171,321752656
20000000,USA,Drama,29,304337,8.19,01.07.1998,American History X,6719864,23875127
16000000,France,Drama,28,837283,8.15,14.09.1994,Léon,19501238,19569225
8000000,USA,Gangster,11,670641,8.35,,Pulp Fiction,107928762,213928762
22000000,USA,Drama,10,367627,8.39,,Schindler's List,96898818,322161245
13000000,USA,Drama,8,282436,8.46,12.12.1974,The Godfather: Part II,47834595,193000000
3000000,USA,Drama,7,402645,8.49,listopada 1975,One Flew Over the Cuckoo's Nest,108981275,109114817
6000000,USA,Drama,4,545059,8.64,14.03.1972,The Godfather,136381073,250341816
55000000,USA,Drama,6,990527,8.55,23.06.1994,Forrest Gump,330455270,678226465
,USA,Court drama,5,227650,8.68,10.04.1957,12 Angry Men,,
94000000,New Zealand,Adventurous,9,525475,8.39,01.12.2003,The Lord of the Rings: The Return of the King,379427292,1147633833
60000000,USA,Drama,3,996583,8.63,06.12.1999,The Green Mile,136801374,286801374
25000000,USA,Drama,1,917807,8.79,10.09.1994,The Shawshank Redemption,28767189,28884504
10800000,France,Biographical,2,675854,8.64,23.09.2011,Intouchables,10198820,426588510
