item_no,name,price,rating
200660,Mountain Summit Gear Aluminum Folding Picnic Table,86.93,4.0
193589,REI Co-op Flannel/Fleece Blanket,29.93,4.6
176598,Rumpl Original Puffy Blanket - National Park,92.93,4.8
201965,REI Co-op Flash 22 Pack,59.95,4.2
179537,Eureka SPRK+ Butane Camp Stove,69.95,4.5
214915,Gerber Suspension NXT Multi-tool with Paraframe I Folding Knife Set,34.93,4.3
186176,REI Co-op Pack-Away Adjustable Cube,34.93,4.6
234022,MPOWERD Luci Pro Series Inflatable Solar Lantern,34.73,4.8
147499,MPOWERD Luci Candle Lantern,14.73,4.5
131611,TheTentLab The Deuce #2 UL Backcountry Trowel,14.93,4.5
202274,REI Co-op Skyward 4 Tent,374.0,3.9
227754,JBL Clip 4 Eco Speaker,79.95,4.2
231797,Black Diamond Ion Keychain Light,12.73,2.6
233808,YETI Rambler Vacuum Pint Glass with MagSlider Lid,30.0,4.8
113008,Adventure Medical Kits Mountain Series Explorer Medical Kit,69.95,4.6
234098,Solo Stove Bonfire Fire Pit with Stand 2.0,280.0,5.0
185046,ALPS Mountaineering Meramac 6 Floor Saver Footprint,36.73,3.5
225651,Garmin Forerunner 965,600.0,4.6
174089,Mountainsmith Upland 6 Tent,163.73,1.8
190080,Gregory Miwok 18 Pack - Men's,82.73,4.2
199158,Komperdell Carbon C3 Pro Trekking Poles - 2020 - Pair,113.73,5.0
199934,NEMO Tensorâ€¯Ultralight Sleeping Pad,89.83,3.9
232713,COROS PACE 3,229.0,4.4
203769,Exped Mira II HL Footprint,51.73,3.8
203801,Exped Mira III HL Footprint,46.73,4.0
199159,Komperdell Carbon C3 Pro Compact Trekking Poles - Pair,135.73,2.5
205565,Mountain Equipment Nova II Sleeping Bag - Men's Long,151.73,0.0
205574,Mountain Equipment Starlight I Sleeping Bag - Women's,132.73,4.0
205566,Mountain Equipment Nova II Sleeping Bag - Women's,173.73,0.0
205540,Trekmates Mountain Pod Emergency Shelter - L,58.73,3.5
852554,YETI Tundra 65 Cooler,375.0,4.8
203791,Nocs Provisions Zoom Tube 8 x 32 Monocular Telescope,75.0,4.4
212823,Nocs Provisions Honor Native Land Binocular Bundle,89.93,4.5
225589,Garmin Forerunner 265,450.0,4.5
225590,Garmin Forerunner 265S,450.0,4.4
228407,Garmin fenix 7X Pro Solar Edition,900.0,4.8
139587,Hydro Flask Coffee with Flex Sip Lid - 16 fl. oz.,32.95,4.3
233391,Garmin Venu 3,450.0,4.4
150116,Grayl GeoPress Water Filter and Purifier Bottle - 24 fl. oz.,99.95,4.8
206596,Garmin fenix 7X Sapphire Solar Multisport GPS Watch,900.0,4.5
203087,Therm-a-Rest Parsec 0 Sleeping Bag,529.95,4.6
203984,Big Agnes Rapide SL Insulated Sleeping Pad,111.93,4.2
202774,Black Diamond Spot 400 Headlamp,49.95,4.2
874210,YETI Tundra 45 Cooler,325.0,4.8
226839,EcoFlow RIVER 2 Pro Portable Power Station,599.0,4.9
217084,Therm-a-Rest NeoAir XTherm NXT Sleeping Pad,239.95,4.5
194123,Mountain Hardwear Bishop Pass GORE-TEX 15 Sleeping Bag,287.93,5.0
217082,Therm-a-Rest NeoAir XLite NXT Sleeping Pad,199.95,4.3
186178,REI Co-op Pack-Away Bin,75.93,4.7
221661,REI Co-op Wallace Lake Sherpa Fleece Blanket,44.93,4.9
220437,Stanley Quencher H2.0 FlowState Tumbler - 30 fl. oz.,35.0,4.6
216059,Big Agnes Boundary Deluxe Insulated Sleeping Pad,179.95,4.7
123344,YETI Hopper Flip 18 Soft Cooler,300.0,4.6
228402,Garmin fenix 7 Pro Sapphire Solar Edition,900.0,4.8
164851,Mountain Hardwear Bishop Pass 0 Sleeping Bag - Men's,325.0,4.6
127968,Jetboil Flash Cooking System ,129.95,4.5
216799,Garmin inReach Messenger,300.0,4.0
205174,Nikon Monarch M5 8 x 42 Binoculars,289.95,4.8
187509,Kelty Cosmic 20 Sleeping Bag - Women's,160.93,4.5
234099,Solo Stove Mesa XL Fire Pit,100.0,5.0
215777,NEMO Hornet OSMO Ultralight 2P Tent,429.95,4.3
171387,Fenix PD36R Rechargeable Flashlight,99.95,4.7
127086,YETI Rambler Tumbler with MagSlider Lid - 20 fl. oz.,35.0,4.7
227244,Garmin GPSMAP 67i,600.0,3.9
233420,NEMO Aurora 2P Tent with Footprint,224.73,4.6
226837,EcoFlow RIVER 2 Portable Power Station,239.0,4.9
227733,Suunto Vertical Titanium Solar,839.0,2.7
202396,Black Diamond Distance Z Trekking Poles - Pair,139.95,4.5
220436,Stanley Quencher H2.0 FlowState Tumbler - 20 fl. oz.,30.0,4.5
216203,NEMO Stargaze Reclining Camp Chair,209.93,4.2
202771,Black Diamond Storm 500-R Headlamp,74.95,4.4
202760,Black Diamond Spot 400-R Headlamp,64.95,4.6
852548,YETI Tundra 35 Cooler,275.0,4.8
168719,REI Co-op Traverse Trekking Poles - Pair,129.0,4.5
126321,Mr. Heater Portable Buddy Heater,125.0,4.6
216314,REI Co-op Trailmade Trekking Poles - Pair,79.95,4.4
216525,The North Face One Bag Sleeping Bag,350.0,4.1
216101,Big Agnes Divide Insulated Sleeping Pad,119.95,4.8
168487,REI Co-op Trail 40 Pack - Women's,89.93,4.7
211507,Black Diamond Recon X Avy Safety Set,449.95,4.9
